Animal ID,Description/Breed,Sex,Intake,Shelter County
A357197,MASTIFF,Male,FIELD,SoCo
A396953,PIT BULL,Neutered,FIELD,SoCo
A393495,CHIHUAHUA SH/MIX,Male,FIELD,SoCo
A381653,GERM SHEPHERD,Neutered,OVER THE COUNTER,SoCo
A333197,PIT BULL,Spayed,OVER THE COUNTER,SoCo
A389406,PIT BULL,Spayed,RESCUE_GRP,SoCo
A396971,DOMESTIC SH,Spayed,FIELD,SoCo
A300823,CHIHUAHUA SH,Spayed,OVER THE COUNTER,SoCo
A397633,CHIHUAHUA SH,Neutered,OVER THE COUNTER,SoCo
A393477,FRENCH BULLDOG,Male,VET_HOSP,SoCo
A398923,CHIHUAHUA SH,Male,FIELD,SoCo
A391887,GERM SHEPHERD,Female,OVER THE COUNTER,SoCo
A357196,MASTIFF,Male,FIELD,SoCo
A397443,ROTTWEILER,Spayed,FIELD,SoCo
A398918,BAT,Unknown,FIELD,SoCo
A026974,BEAGLE/MIX,Neutered,OVER THE COUNTER,SoCo
A393739,DOMESTIC SH,Neutered,OVER THE COUNTER,SoCo
A393932,ALASKAN HUSKY/PIT BULL,Neutered,MUN_SHELT,SoCo
A394194,DOMESTIC SH,Neutered,OVER THE COUNTER,SoCo
A394402,PIT BULL/MIX,Male,OVER THE COUNTER,SoCo
A398423,AUST SHEPHERD,Spayed,OVER THE COUNTER,SoCo
A394368,SIBERIAN HUSKY/GERM SHEPHERD,Neutered,OVER THE COUNTER,SoCo
A394401,PIT BULL/CHINESE SHARPEI,Male,OVER THE COUNTER,SoCo
A394232,SIBERIAN HUSKY/MIX,Female,OVER THE COUNTER,SoCo
A395094,TIBETAN TERR/MIX,Neutered,FIELD,SoCo
A393386,CHIHUAHUA SH/MIX,Male,FIELD,SoCo
A394300,PIT BULL/MIX,Male,VET_HOSP,SoCo
A381107,PIT BULL,Neutered,FIELD,SoCo
A347929,SIBERIAN HUSKY,Neutered,FIELD,SoCo
A311105,DOBERMAN PINSCH,Neutered,FIELD,SoCo
A033894,CHIHUAHUA SH/MIX,Neutered,OVER THE COUNTER,SoCo
A339164,RAT TERRIER,Neutered,OVER THE COUNTER,SoCo
A372803,PARSON RUSS TER,Female,OVER THE COUNTER,SoCo
A336507,GOLDEN RETR,Spayed,OVER THE COUNTER,SoCo
A398819,PIT BULL/MIX,Spayed,FLD_HOSPTL,SoCo
A336507,GOLDEN RETR,Spayed,FIELD,SoCo
A395183,PIT BULL/MIX,Male,FIELD,SoCo
A329379,DOMESTIC SH,Neutered,OVER THE COUNTER,SoCo
A395828,PIT BULL,Neutered,FIELD,SoCo
A395929,DOMESTIC MH,Unknown,FIELD,SoCo
A395927,BOXER,Neutered,FIELD,SoCo
A372803,PARSON RUSS TER,Female,OVER THE COUNTER,SoCo
A362519,GERM SHEPHERD,Spayed,FIELD,SoCo
A395810,AUST CATTLE DOG/MIX,Male,FLD_CORONR,SoCo
A395563,PIT BULL,Male,OVER THE COUNTER,SoCo
A348160,AUST CATTLE DOG,Male,FIELD,SoCo
A398422,CHIHUAHUA SH/MIX,Male,PRIV_SHELT,SoCo
A400531,BLACK/TAN HOUND/MIX,Male,FIELD,SoCo
A398323,LABRADOR RETR/MIX,Neutered,FIELD,SoCo
A395179,BOXER,Female,FIELD,SoCo
A318118,GREAT PYRENEES,Neutered,FIELD,SoCo
A362519,GERM SHEPHERD,Spayed,FLD_HOSPTL,SoCo
A398849,DOMESTIC SH,Neutered,OVER THE COUNTER,SoCo
A363668,GERM SHEPHERD,Neutered,FIELD,SoCo
A391324,DOMESTIC SH,Neutered,OVER THE COUNTER,SoCo
A329641,CHIHUAHUA SH,Neutered,OVER THE COUNTER,SoCo
A342412,CHIHUAHUA SH/MIX,Neutered,FIELD,SoCo
A397748,GOLDEN RETR/MIX,Spayed,FIELD,SoCo
A328591,POODLE MIN/MIX,Female,FIELD,SoCo
A336507,GOLDEN RETR,Spayed,FIELD,SoCo
A389058,PARSON RUSS TER/MIX,Neutered,OVER THE COUNTER,SoCo
A334632,PIT BULL,Neutered,FIELD,SoCo
A363667,GERM SHEPHERD/MIX,Neutered,FIELD,SoCo
A393521,GERM SHEPHERD/MIX,Neutered,FLD_HOSPTL,SoCo
A396274,CHIHUAHUA SH,Neutered,FIELD,SoCo
A391181,BELG MALINOIS/MIX,Neutered,FIELD,SoCo
A393503,DOMESTIC LH,Spayed,OVER THE COUNTER,SoCo
A348159,ROTTWEILER,Neutered,FIELD,SoCo
A398422,CHIHUAHUA SH/MIX,Male,FIELD,SoCo
